Deck,Enemy,Probability,Max Simultaneous,Tier
CorpusEvent,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.75,0,0
,Osprey-Tarcza (Drones/AIWeek/ShieldDroneAgent),0.15000001,2,0
,Snajper (Spaceman/AIWeek/SniperSpacemanAgent),0.1,1,0
,Technik Corpus (Spaceman/AIWeek/DeployableSpacemanAgent),0.15000001,0,0
,Osprey-Miner (Drones/AIWeek/MineDroneAgent),0.02,0,0
,Moa-Hybryda (BipedRobot/AIWeek/SuperMoaBipedAgent),0.050000001,0,0
,Sejsmiczny Moa (BipedRobot/AIWeek/ShockwaveBipedAgent),0.25,0,0
,Moa Z Railgunem (BipedRobot/AIWeek/RailgunBipedAgent),0.050000001,0,0
,Anti Moa (BipedRobot/AIWeek/LaserDiscBipedAgent),0.1,0,0
CorpusGrineerDesertMix,Załogant (Spaceman/AIWeek/RifleSpacemanAgent),1,0,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.69999999,0,0
,Sejsmiczny Moa (BipedRobot/AIWeek/ShockwaveBipedAgent),0.2,0,0
,Osprey-Tarcza (Drones/AIWeek/ShieldDroneAgent),0.15000001,1,0
,Załogant Z Nahajem (Spaceman/AIWeek/MeleeSpacemanAgent),0.25,0,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.5,0,0
,Moa-Hybryda (BipedRobot/AIWeek/SuperMoaBipedAgent),0.0099999998,0,0
,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/BladeSawman,0.30000001,0,0
,AIWeek/MacheteWoman,0.1,0,0
,AIWeek/ShotgunLancer,0.25,0,0
,AIWeek/MinigunBombard,0.1,0,0
,AIWeek/ShieldLancer,0.1,0,0
,GrineerMarineLeader,0.1,0,0
,Desert/RifleLancer,1,0,0
,Desert/EliteRifleLancer,1,0,0
,Desert/BladeSawman,0.30000001,0,0
,Desert/ShotgunLancer,0.25,0,0
,Desert/MinigunBombard,0.050000001,2,0
,Desert/EvisceratorLancer,0.1,2,0
,Desert/JetpackMarine,0.25,0,0
,Desert/GrineerMarinePistol,0.050000001,0,0
,/Lotus/Types/NeutralCreatures/SandRayCreature,0.25,3,0
,AIWeek/GrineerFemale,0.1,4,0
CorpusGrineerForestMix,Załogant (Spaceman/AIWeek/RifleSpacemanAgent),1,0,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.69999999,0,0
,Sejsmiczny Moa (BipedRobot/AIWeek/ShockwaveBipedAgent),0.2,0,0
,Osprey-Tarcza (Drones/AIWeek/ShieldDroneAgent),0.15000001,1,0
,Załogant Z Nahajem (Spaceman/AIWeek/MeleeSpacemanAgent),0.25,0,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.5,0,0
,Moa-Hybryda (BipedRobot/AIWeek/SuperMoaBipedAgent),0.0099999998,0,0
,Forest/RifleLancer,1,0,0
,Forest/EliteRifleLancer,0.2,2,0
,Forest/BladeSawman,0.30000001,0,0
,Forest/ShotgunLancer,0.25,3,0
,Forest/MinigunBombard,0.050000001,2,0
,AIWeek/GrineerFemale,0.1,1,0
,Forest/JetpackMarine,0.25,1,0
,Frontier Regulator (SpecialEvents/ForestDroneAgent),0.050000001,0,0
,Forest/GrineerMarinePistol,0.050000001,0,0
,AIWeek/MacheteWoman,0.2,0,1
,Forest/EvisceratorLancer,0.1,1,1
,AIWeek/RocketBombard,0.1,1,2
,AIWeek/FlameLancer,0.1,1,2
,Forest/MinigunBombard,0.1,2,2
CorpusGrineerMix,Załogant (Spaceman/AIWeek/RifleSpacemanAgent),1,0,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.69999999,0,0
,Sejsmiczny Moa (BipedRobot/AIWeek/ShockwaveBipedAgent),0.2,0,0
,Osprey-Tarcza (Drones/AIWeek/ShieldDroneAgent),0.15000001,1,0
,Załogant Z Nahajem (Spaceman/AIWeek/MeleeSpacemanAgent),0.25,0,0
,Moa (BipedRobot/AIWeek/LaserCannonBipedAgent),0.5,0,0
,Moa-Hybryda (BipedRobot/AIWeek/SuperMoaBipedAgent),0.0099999998,0,0
,AIWeek/RifleLancer,1,0,0
,AIWeek/EliteRifleLancer,1,0,0
,AIWeek/BladeSawman,0.30000001,0,0
,AIWeek/MacheteWoman,0.1,0,0
